"","x"
"1526",1
"1419",1
"1105",2
"1523",1
"1959",1
"76",3
"307",1
"66",1
"398",3
"1849",1
"2103",1
"1819",2
"205",1
"1182",1
"497",3
"1896",1
"1479",1
"560",1
"2108",1
"2339",1
"1380",4
"69",1
"790",2
"79",1
"1747",2
"1018",1
"1456",3
"63",1
"896",2
"2276",1
"1680",1
"675",1
"587",1
"1702",2
"1649",1
"395",1
"1950",1
"327",1
"1844",1
"171",3
"2249",1
"528",1
"1044",1
"1958",1
"1101",1
"1311",1
"1628",1
"1990",1
"749",1
"759",3
"50",1
"158",4
"2394",1
"693",1
"90",3
"917",4
"774",2
"2327",1
"1556",1
"1880",4
"1084",1
"1873",1
"392",1
"2217",1
"865",1
"1331",3
"695",1
"1302",1
"1465",2
"113",2
"227",3
"1902",1
"1878",1
"2059",1
"576",1
"97",1
"1820",1
"2220",1
"1709",1
"387",1
"1591",3
"471",3
"1695",1
"343",2
"199",3
"914",1
"325",2
"1473",2
"2311",1
"166",1
"805",1
"1152",5
"1024",1
"462",1
"855",2
"808",1
"709",2
"1273",1
"1956",4
"1401",1
"336",1
"686",1
"585",1
"1813",1
"1796",1
"1692",1
"2131",1
"19",3
"482",1
"346",1
"445",1
"449",1
"1889",1
"2163",1
"189",3
"594",4
"1718",3
"2054",3
"204",1
"2291",1
"2381",1
"1964",2
"1328",1
"1297",1
"1573",1
"954",1
"366",2
"1425",1
"2219",1
"1928",1
"665",1
"376",1
"1812",1
"1743",4
"1259",1
"2033",1
"831",2
"1432",1
"621",2
"1805",1
"1622",2
"1845",1
"2272",1
"2192",1
"638",1
"901",2
"112",1
"1002",1
"2003",3
"1416",3
"2112",1
"1590",1
"2234",3
"1739",3
"67",2
"188",1
"183",1
"32",1
"202",1
"1348",1
"755",1
"447",1
"1753",1
"1382",1
"1434",5
"253",1
"225",1
"2072",1
"609",1
"174",1
"643",1
"1244",1
"2028",1
"863",1
"1082",1
"1243",3
"338",2
"1491",1
"1254",1
"1947",1
"1821",1
"1388",4
"46",1
"1204",4
"1607",1
"1733",2
"203",1
"1444",2
"1124",2
"1852",1
"651",1
"1108",4
"881",2
"1042",1
"1358",1
"1759",2
"2058",1
"1836",1
"635",2
"559",1
"300",1
"2390",1
"1098",4
"148",2
"1409",1
"1022",1
"120",1
"971",1
"1653",1
"415",1
"685",5
"1420",1
"469",3
"661",1
"71",1
"81",1
"1855",3
"1226",1
"1594",1
"1977",1
"1582",4
"1983",1
"1496",1
"1621",1
"2032",1
"1013",1
"967",2
"681",1
"161",1
"1234",1
"1645",3
"1737",3
"1440",1
"14",3
"673",1
