Date,Order
2019-11-02,48659
2019-11-03,362
2019-11-04,17425
2019-11-05,16461
2019-11-06,11886
2019-11-07,21838
2019-11-08,2806
2019-11-09,9314
2019-11-10,571
2019-11-11,43484
2019-11-12,16706
2019-11-13,15450
2019-11-14,16752
2019-11-15,13795
2019-11-16,52577
2019-11-17,507
2019-11-18,10684
2019-11-19,20265
2019-11-20,13592
2019-11-21,17820
2019-11-22,16392
2019-11-23,62396
2019-11-24,1784
2019-11-25,37281
2019-11-26,33819
2019-11-27,60276
2019-11-28,3727
2019-11-29,9890
2019-11-30,18031
2019-12-01,1996
2019-12-02,11519
2019-12-03,21800
2019-12-04,18377
2019-12-05,10439
2019-12-06,17673
2019-12-07,40718
2019-12-08,1226
2019-12-09,9539
2019-12-10,22407
2019-12-11,15945
2019-12-12,27463
2019-12-13,19608
2019-12-14,34142
2019-12-15,1154
2019-12-16,20487
2019-12-17,26568
2019-12-18,25490
2019-12-19,21805
2019-12-20,32415
2019-12-21,12695
2019-12-22,467
2019-12-23,9658
2019-12-24,5458
2019-12-25,666
2019-12-26,45343
2019-12-27,8871
2019-12-28,7884
2019-12-29,1993
2019-12-30,5605
2019-12-31,18444
2020-01-01,1086
2020-01-02,16425
2020-01-03,12210
2020-01-04,55894
2020-01-05,493
2020-01-06,7442
2020-01-07,21337
2020-01-08,32649
2020-01-09,10019
2020-01-10,13478
2020-01-11,55088
2020-01-12,435
2020-01-13,9763
2020-01-14,19467
2020-01-15,17439
2020-01-16,9141
2020-01-17,21598
2020-01-18,35463
2020-01-19,488
2020-01-20,41401
2020-01-21,13108
2020-01-22,17561
2020-01-23,13309
2020-01-24,18308
2020-01-25,28152
2020-01-26,593
2020-01-27,13169
2020-01-28,15335
2020-01-29,14444
2020-01-30,21379
2020-01-31,13505
